freq,psd_x,psd_y,psd_z,psd_xyz,zv(44.4),mzv(41.4),ei(50.6),2hump_ei(65.0),3hump_ei(78.2)
184.2,1.962e+00,1.619e+01,1.632e+01,3.447e+01,0.621,0.184,0.326,0.050,0.121
185.8,1.690e+00,1.372e+01,1.643e+01,3.184e+01,0.610,0.190,0.343,0.049,0.106
187.4,1.550e+00,1.183e+01,1.535e+01,2.873e+01,0.599,0.196,0.359,0.048,0.092
188.9,1.395e+00,1.044e+01,1.395e+01,2.578e+01,0.585,0.203,0.373,0.047,0.078
190.5,1.228e+00,8.629e+00,1.233e+01,2.219e+01,0.570,0.210,0.385,0.047,0.066
192.1,1.199e+00,7.310e+00,1.128e+01,1.979e+01,0.554,0.230,0.395,0.047,0.062
193.7,1.317e+00,6.953e+00,1.086e+01,1.913e+01,0.537,0.250,0.404,0.047,0.058
195.3,1.527e+00,7.173e+00,1.046e+01,1.916e+01,0.518,0.269,0.411,0.047,0.054
196.9,2.009e+00,9.337e+00,9.771e+00,2.112e+01,0.499,0.289,0.416,0.047,0.051
198.5,2.638e+00,1.229e+01,8.955e+00,2.388e+01,0.478,0.308,0.419,0.048,0.048
